,Speed (thousands of feet per second),Altitude (thousands of feet)
634,216.0,646.0
635,216.0,645.0
636,215.0,644.0
637,214.0,643.0
638,213.0,642.0
639,212.0,641.0
640,211.0,640.0
641,210.0,639.0
642,209.0,638.0
643,208.0,637.0
644,207.0,636.0
645,206.0,635.0
646,205.0,634.0
647,204.0,633.0
648,203.0,632.0
649,202.0,631.0
650,201.0,630.0
651,200.0,629.0
652,199.0,628.0
653,198.0,627.0
654,197.0,626.0
655,196.0,625.0
656,195.0,624.0
657,194.0,623.0
658,193.0,622.0
659,192.0,621.0
660,327.5,620.0
661,326.0,619.0
662,325.00000000000006,618.0
663,324.0,617.0
664,323.0,616.0
665,322.0,615.0
666,321.0,614.0
667,319.99999999999994,613.0
668,319.00000000000006,612.0
669,318.0,611.0
670,317.0,610.0
671,317.5,609.0
672,322.0,608.0
673,293.25,607.0
674,195.5,606.0
675,201.5,605.0
676,207.0,604.0
677,213.0,603.0
678,221.0,602.0
679,229.5,601.0
680,237.5,600.0
681,245.5,599.0
682,254.5,598.0
683,141.2,597.0
684,139.0,596.0
685,153.0,595.0
686,169.5,594.0
687,141.25,593.0
688,83.0,592.0
689,112.5,591.0
