,distance,altitude,velocity,mass,time
67,19848.549733460095,2579.3391430303454,4166.310735238701,217.0,6.7006700670067
68,20262.60635900102,2624.459904551506,4164.872623455144,217.0,6.8006800680068
69,20676.55298258524,2669.2554567456245,4163.438920016317,217.0,6.900690069006901
70,21090.390725291647,2713.7258991487324,4162.0096109337155,217.0,7.000700070007
71,21504.118012857423,2757.8713308870792,4160.584682281536,217.0,7.1007100710071
72,21917.73590546703,2801.691850658506,4159.164120196125,217.0,7.200720072007201
73,22331.24460758019,2845.187556758523,4157.747910875442,217.0,7.3007300730073
74,22744.64431787697,2888.358547076583,4156.336040578522,217.0,7.4007400740074
75,23157.93522978314,2931.204919088632,4154.928495624942,217.0,7.500750075007501
76,23571.117546341808,2973.726769875735,4153.525262394287,217.0,7.6007600760076
77,23984.191461196133,3015.9241961203516,4152.126327325625,217.0,7.7007700770077
